Date & Time,Favorite,Spread,Underdog,Total,Money Odds,Week,Year
10/29 8:15 ET,New England,-13.5,At Buffalo,44.5,-$1300 +$775,8,2018
10/26 8:25 ET,At Baltimore,-3,Miami,38,-$155 +$135,8,2017
10/29/2019 9:30,Minnesota,-11,Cleveland,38.5,-$600 +$450,8,2017
10/29 1:00 ET,At New Orleans,-8.5,Chicago,46,-$390 +$310,8,2017
10/29 1:00 ET,Atlanta,-6.5,At NY Jets,44,-$300 +$250,8,2017
10/29 1:00 ET,At Tampa Bay,-1,Carolina,46,-$120 +$100,8,2017
10/29 1:00 ET,At Philadelphia,-13,San Francisco,44.5,-$900 +$600,8,2017
10/29 1:00 ET,At Buffalo,-2,Oakland,47.5,-$130 +$110,8,2017
10/29 1:00 ET,At Cincinnati,-10.5,Indianapolis,44,-$600 +$450,8,2017
10/29 1:00 ET,At New England,-7,LA Chargers,49,-$300 +$250,8,2017
10/29 4:05 ET,At Seattle,-6.5,Houston,45,-$275 +$235,8,2017
10/29 4:25 ET,Dallas,-3,At Washington,46.5,-$165 +$145,8,2017
10/29 8:30 ET,Pittsburgh,-3,At Detroit,45,-$170 +$150,8,2017
10/30 8:30 ET,At Kansas City,-7,Denver,42,-$350 +$290,8,2017
11/1 8:20 ET,Oakland,-1.5,At San Francisco,44,-$125 +$105,9,2018
11/4 1:00 ET,At Minnesota,-5,Detroit,47,-$230 +$190,9,2018
11/4 1:00 ET,Kansas City,-8.5,At Cleveland,51.5,-$425 +$340,9,2018
11/4 1:00 ET,At Baltimore,-1.5,Pittsburgh,47,-$125 +$105,9,2018
11/4 1:00 ET,At Carolina,-6,Tampa Bay,55.5,-$280 +$240,9,2018
11/4 1:00 ET,At Miami,-3,NY Jets,43,-$155 +$135,9,2018
11/4 1:00 ET,At Washington,-1.5,Atlanta,47,-$125 +$105,9,2018
11/4 1:00 ET,Chicago,-10,At Buffalo,38,-$525 +$400,9,2018
11/4 4:05 ET,At Denver,-1,Houston,46.5,-$120 +$100,9,2018
11/4 4:05 ET,At Seattle,-1,LA Chargers,48.5,-$120 +$100,9,2018
11/4 4:25 ET,LA Rams,-2,At New Orleans,57.5,-$130 +$110,9,2018
11/4 8:20 ET,At New England,-5,Green Bay,56.5,-$250 +$210,9,2018
11/5 8:15 ET,At Dallas,-5,Tennessee,40,-$230 +$190,9,2018
11/2 8:25 ET,Buffalo,-3,At NY Jets,42.5,-$175 +$155,9,2017
11/5 1:00 ET,At Philadelphia,-7,Denver,41,-$320 +$260,9,2017
11/5 1:00 ET,LA Rams,-6,At NY Giants,42.5,-$270 +$230,9,2017
11/5 1:00 ET,At New Orleans,-7,Tampa Bay,54.5,-$310 +$260,9,2017
11/5 1:00 ET,At Jacksonville,-5.5,Cincinnati,38,-$250 +$210,9,2017
11/5 1:00 ET,Atlanta,-3,At Carolina,42,-$155 +$135,9,2017
11/5 1:00 ET,At Houston,-6,Indianapolis,45,-$250 +$210,9,2017
11/5 1:00 ET,At Tennessee,-3,Baltimore,41,-$165 +$145,9,2017
11/5 4:05 ET,Arizona,-2.5,At San Francisco,39,-$135 +$115,9,2017
11/5 4:05 ET,At Seattle,-8.5,Washington,44.5,-$425 +$350,9,2017
11/5 4:25 ET,At Dallas,-2.5,Kansas City,53,-$140 +$120,9,2017
11/5 8:30 ET,Oakland,-3,At Miami,44.5,-$170 +$150,9,2017
11/6 8:30 ET,Detroit,-2.5,At Green Bay,43,-$140 +$120,9,2017
11/8 8:20 ET,At Pittsburgh,-3.5,Carolina,51,-$190 +$170,10,2018
11/11 1:00 ET,At NY Jets,-7,Buffalo,37.5,-$320 +$260,10,2018
11/11 1:00 ET,Atlanta,-5.5,At Cleveland,49.5,-$260 +$220,10,2018
11/11 1:00 ET,New Orleans,-6,At Cincinnati,53.5,-$270 +$230,10,2018
11/11 1:00 ET,At Tampa Bay,-3.5,Washington,51,-$185 +$165,10,2018
11/11 1:00 ET,New England,-6.5,At Tennessee,46.5,-$300 +$250,10,2018
11/11 4:25 ET,At Green Bay,-12.5,Miami,49,-$825 +$550,10,2018
11/11 1:00 ET,At Indianapolis,-3,Jacksonville,48,-$160 +$140,10,2018
11/11 1:00 ET,At Chicago,-7,Detroit,45,-$360 +$300,10,2018
11/11 1:00 ET,At Kansas City,-16,Arizona,49.5,-$2000 +$1000,10,2018
11/11 4:05 ET,LA Chargers,-10.5,At Oakland,50.5,-$575 +$425,10,2018
11/11 4:25 ET,At LA Rams,-9.5,Seattle,51,-$500 +$375,10,2018
11/11 8:20 ET,At Philadelphia,-7.5,Dallas,45,-$390 +$310,10,2018
11/12 8:15 ET,At San Francisco,-3,NY Giants,45,-$170 +$150,10,2018
11/9 8:25 ET,Seattle,-6,At Arizona,40.5,-$270 +$230,10,2017
11/12 1:00 ET,Minnesota,-1,At Washington,42.5,-$120 +$100,10,2017
11/12 1:00 ET,At Chicago,-5,Green Bay,37.5,-$225 +$185,10,2017
11/12 1:00 ET,Pittsburgh,-11,At Indianapolis,47,-$575 +$425,10,2017
11/12 1:00 ET,At Jacksonville,-5,LA Chargers,40.5,-$230 +$190,10,2017
11/12 1:00 ET,At Tampa Bay,-1,NY Jets,44.5,-$120 +$100,10,2017
11/12 1:00 ET,At Tennessee,-4.5,Cincinnati,40.5,-$220 +$180,10,2017
11/12 1:00 ET,New Orleans,-2,At Buffalo,48,-$135 +$115,10,2017
11/12 1:00 ET,At Detroit,-10.5,Cleveland,42.5,-$500 +$400,10,2017
11/12 4:05 ET,At LA Rams,-13,Houston,45.5,-$700 +$500,10,2017
11/12 4:25 ET,At Atlanta,-3.5,Dallas,49,-$190 +$165,10,2017
11/12 4:25 ET,NY Giants,-3,At San Francisco,41.5,-$165 +$155,10,2017
11/12 8:30 ET,New England,-7,At Denver,45,-$330 +$270,10,2017
11/13 8:30 ET,At Carolina,-8,Miami,38.5,-$400 +$330,10,2017
11/15 8:20 ET,At Seattle,-3,Green Bay,49,-$160 +$140,11,2018
11/18 1:00 ET,Carolina,-4,At Detroit,48.5,-$220 +$180,11,2018
11/18 1:00 ET,At Atlanta,-3.5,Dallas,50,-$190 +$170,11,2018
11/18 1:00 ET,At Baltimore,-6.5,Cincinnati,43.5,-$270 +$230,11,2018
11/18 8:20 ET,At Chicago,-2.5,Minnesota,44,-$140 +$120,11,2018
11/18 4:25 ET,At New Orleans,-7,Philadelphia,57,-$340 +$270,11,2018
11/18 1:00 ET,At Indianapolis,-1.5,Tennessee,50,-$125 +$105,11,2018
11/18 1:00 ET,Houston,-3,At Washington,41,-$165 +$145,11,2018
11/18 1:00 ET,At NY Giants,-3,Tampa Bay,54,-$165 +$145,11,2018
11/18 4:05 ET,At LA Chargers,-7,Denver,47,-$340 +$280,11,2018
11/18 4:05 ET,At Arizona,-4.5,Oakland,41,-$220 +$180,11,2018
11/18 1:00 ET,Pittsburgh,-4,At Jacksonville,47,-$210 +$180,11,2018
11/19 8:15 ET,LA Rams,-3,Kansas City,63.5,-$165 +$145,11,2018
11/16 8:25 ET,At Pittsburgh,-7,Tennessee,44,-$330 +$270,11,2017
11/19 1:00 ET,Detroit,-3,At Chicago,40.5,-$170 +$150,11,2017
11/19 1:00 ET,Kansas City,-10,At NY Giants,45,-$475 +$375,11,2017
11/19 1:00 ET,Tampa Bay,-1.5,At Miami,44,-$125 +$105,11,2017
11/19 1:00 ET,Baltimore,-2.5,At Green Bay,38.5,-$135 +$115,11,2017
11/19 1:00 ET,At Minnesota,-1.5,LA Rams,46.5,-$125 +$105,11,2017
11/19 1:00 ET,At Houston,-2.5,Arizona,38,-$140 +$120,11,2017
11/19 1:00 ET,Jacksonville,-7,At Cleveland,37,-$340 +$280,11,2017
11/19 1:00 ET,At New Orleans,-9,Washington,53,-$450 +$350,11,2017
11/19 4:05 ET,At LA Chargers,-7,Buffalo,41.5,-$300 +$250,11,2017
11/19 4:25 ET,At Denver,-2.5,Cincinnati,38,-$150 +$130,11,2017
11/19 4:25 ET,New England,-7,Oakland,55.5,-$325 +$265,11,2017
11/19 8:30 ET,Philadelphia,-6.5,At Dallas,48.5,-$265 +$225,11,2017
11/20 8:30 ET,Atlanta,-1,At Seattle,46,-$120 +$100,11,2017
11/22 12:35 ET,Chicago,-3,At Detroit,42.5,-$165 +$145,12,2018
11/22 4:30 ET,At Dallas,-7,Washington,40.5,-$330 +$260,12,2018
11/22 8:20 ET,At New Orleans,-12.5,Atlanta,60.5,-$700 +$500,12,2018
11/25 1:00 ET,Jacksonville,-3,At Buffalo,36.5,-$165 +$145,12,2018
11/25 1:00 ET,At Baltimore,-13,Oakland,42,-$850 +$575,12,2018
11/25 1:00 ET,At Tampa Bay,-1.5,San Francisco,54.5,-$125 +$105,12,2018
11/25 1:00 ET,At Philadelphia,-5,NY Giants,49.5,-$230 +$190,12,2018
11/25 1:00 ET,At Cincinnati,-1,Cleveland,46.5,-$115  -$105,12,2018
11/25 1:00 ET,New England,-12.5,At NY Jets,46.5,-$800 +$550,12,2018
11/25 1:00 ET,At Carolina,-3,Seattle,46.5,-$165 +$145,12,2018
11/25 4:25 ET,At Indianapolis,-8.5,Miami,52.5,-$430 +$330,12,2018
11/25 4:05 ET,At LA Chargers,-14,Arizona,43.5,-$1200 +$750,12,2018
11/25 4:25 ET,Pittsburgh,-3,At Denver,47.5,-$170 +$150,12,2018
11/25 8:20 ET,At Minnesota,-3.5,Green Bay,48.5,-$200 +$170,12,2018
11/26 8:15 ET,At Houston,-4,Tennessee,42.5,-$200 +$170,12,2018
11/23 12:30 ET,Minnesota,-2.5,At Detroit,46,-$145 +$125,12,2017
11/23 4:30 ET,LA Chargers,-1.5,At Dallas,46.5,-$125 +$105,12,2017
11/23 8:30 ET,At Washington,-7,NY Giants,44,-$340 +$280,12,2017
11/26 1:00 ET,At Cincinnati,-7.5,Cleveland,39,-$370 +$300,12,2017
11/26 1:00 ET,At Philadelphia,-13.5,Chicago,43.5,-$1100 +$700,12,2017
11/26 1:00 ET,At New England,-16.5,Miami,49,-$2000 +$1000,12,2017
11/26 1:00 ET,At Kansas City,-9,Buffalo,47,-$410 +$320,12,2017
11/26 1:00 ET,At Atlanta,-10,Tampa Bay,47,-$600 +$450,12,2017
11/26 1:00 ET,Carolina,-6,At NY Jets,39.5,-$260 +$220,12,2017
11/26 1:00 ET,Tennessee,-3,At Indianapolis,46.5,-$175 +$155,12,2017
11/26 4:05 ET,Seattle,-6.5,At San Francisco,45,-$300 +$250,12,2017
11/26 4:25 ET,At LA Rams,-2.5,New Orleans,54,-$150 +$130,12,2017
11/26 4:25 ET,Jacksonville,-6.5,At Arizona,38,-$260 +$220,12,2017
11/26 4:25 ET,At Oakland,-4,Denver,41,-$210 +$175,12,2017
11/26 8:30 ET,At Pittsburgh,-14,Green Bay,43,-$1200 +$750,12,2017
11/27 8:30 ET,At Baltimore,-8,Houston,39.5,-$390 +$310,12,2017
11/29 8:20 ET,New Orleans,-7.5,At Dallas,51.5,-$360 +$290,13,2018
12/2 1:00 ET,Indianapolis,-4.5,At Jacksonville,45.5,-$220 +$185,13,2018
12/2 8:20 ET,At Pittsburgh,-3,LA Chargers,53.5,-$180 +$160,13,2018
12/2 1:00 ET,Carolina,-3.5,At Tampa Bay,53.5,-$185 +$165,13,2018
12/2 1:00 ET,At Atlanta,-2.5,Baltimore,46.5,-$150 +$130,13,2018
12/2 1:00 ET,At Houston,-5,Cleveland,48,-$245 +$200,13,2018
12/2 1:00 ET,At Miami,-3.5,Buffalo,40,-$190 +$165,13,2018
12/2 1:00 ET,Chicago,-3.5,At NY Giants,43.5,-$190 +$165,13,2018
12/2 1:00 ET,Denver,-4,At Cincinnati,45,-$200 +$170,13,2018
12/2 1:00 ET,LA Rams,-10,At Detroit,54,-$550 +$425,13,2018
12/2 1:00 ET,At Green Bay,-13.5,Arizona,41,-$900 +$600,13,2018
12/2 4:05 ET,Kansas City,-14,At Oakland,53.5,-$1100 +$700,13,2018
12/2 4:05 ET,At Tennessee,-9.5,NY Jets,40.5,-$475 +$375,13,2018
12/2 4:25 ET,At New England,-6,Minnesota,50,-$260 +$220,13,2018
12/2 8:20 ET,At Seattle,-9.5,San Francisco,45,-$550 +$425,13,2018
12/3 8:15 ET,At Philadelphia,-5.5,Washington,45,-$260 +$220,13,2018
11/30 8:25 ET,Washington,-1.5,At Dallas,47,-$125 +$105,13,2017
12/3 1:00 ET,At Baltimore,-2.5,Detroit,43,-$140 +$120,13,2017
12/3 1:00 ET,At Chicago,-2.5,San Francisco,42,-$145 +$125,13,2017
12/3 1:00 ET,At Atlanta,-2,Minnesota,48.5,-$130 +$110,13,2017
12/3 1:00 ET,New England,-8,At Buffalo,49,-$390 +$320,13,2017
12/3 1:00 ET,Denver,-1.5,At Miami,41,-$125 +$105,13,2017
12/3 1:00 ET,At Tennessee,-7,Houston,42,-$320 +$260,13,2017
12/3 1:00 ET,At Jacksonville,-10,Indianapolis,41,-$475 +$375,13,2017
12/3 1:00 ET,At Green Bay,-3,Tampa Bay,45,-$170 +$150,13,2017
12/3 1:00 ET,Kansas City,-4,At NY Jets,44,-$210 +$175,13,2017
12/3 4:25 ET,At New Orleans,-6,Carolina,48,-$270 +$230,13,2017
12/3 4:05 ET,At LA Chargers,-13.5,Cleveland,44.5,-$1050 +$700,13,2017
12/3 4:25 ET,LA Rams,-7,At Arizona,43,-$340 +$280,13,2017
12/3 4:25 ET,At Oakland,-9.5,NY Giants,42.5,-$475 +$375,13,2017
12/3 8:30 ET,Philadelphia,-4,At Seattle,46.5,-$210 +$180,13,2017
12/4 8:30 ET,Pittsburgh,-4.5,At Cincinnati,43,-$220 +$185,13,2017
12/6 8:20 ET,At Tennessee,-5.5,Jacksonville,37,-$250 +$210,14,2018
12/9 1:00 ET,At Kansas City,-6.5,Baltimore,49,-$290 +$240,14,2018
12/9 1:00 ET,At Houston,-4,Indianapolis,49,-$210 +$180,14,2018
12/9 1:00 ET,Carolina,-1,At Cleveland,48,-$120 +$100,14,2018
12/9 1:00 ET,At Green Bay,-4,Atlanta,50.5,-$210 +$180,14,2018
12/9 1:00 ET,New Orleans,-9.5,At Tampa Bay,55,-$450 +$350,14,2018
12/9 1:00 ET,At Buffalo,-4.5,NY Jets,37,-$225 +$190,14,2018
12/9 1:00 ET,New England,-9,At Miami,49.5,-$420 +$340,14,2018
12/9 8:20 ET,LA Rams,-3,At Chicago,51,-$165 +$145,14,2018
12/9 1:00 ET,NY Giants,-3,At Washington,40,-$160 +$140,14,2018
12/9 4:05 ET,Denver,-3,At San Francsico,45.5,-$160 +$140,14,2018
12/9 4:05 ET,At LA Chargers,-16.5,Cincinnati,48.5,-$1800 +$950,14,2018
12/9 4:25 ET,Detroit,-2.5,At Arizona,40,-$135 +$115,14,2018
12/9 4:25 ET,At Dallas,-3.5,Philadelphia,45.5,-$190 +$170,14,2018
12/9 4:25 ET,Pittsburgh,-10,At Oakland,51,-$475 +$375,14,2018
12/10 8:15 ET,At Seattle,-3,Minnesota,45.5,-$180 +$160,14,2018
12/7 8:25 ET,At Atlanta,-2.5,New Orleans,51.5,-$140 +$120,14,2017
12/10 1:00 ET,At Tampa Bay,0,Detroit,48,-$110  -$110,14,2017
12/10 1:00 ET,At Cincinnati,-6,Chicago,40,-$265 +$225,14,2017
12/10 1:00 ET,At Buffalo,-3,Indianapolis,36.5,-$180 +$160,14,2017
12/10 4:25 ET,At Jacksonville,-2.5,Seattle,41,-$145 +$125,14,2017
12/10 1:00 ET,At Kansas City,-4.5,Oakland,48.5,-$220 +$180,14,2017
12/10 1:00 ET,Minnesota,-2.5,At Carolina,40.5,-$135 +$115,14,2017
12/10 1:00 ET,Green Bay,-2.5,At Cleveland,38.5,-$140 +$120,14,2017
12/10 1:00 ET,At Houston,-1.5,San Francisco,45.5,-$125 +$105,14,2017
12/10 4:05 ET,At LA Chargers,-6,Washington,46.5,-$270 +$230,14,2017
12/10 4:05 ET,NY Jets,-1,At Denver,40.5,-$120 +$100,14,2017
12/10 4:05 ET,Tennessee,-3,At Arizona,42,-$145 +$125,14,2017
12/10 4:25 ET,Philadelphia,-1.5,At LA Rams,47.5,-$125 +$105,14,2017
12/10 1:00 ET,Dallas,-4,At NY Giants,42.5,-$210 +$180,14,2017
12/10 8:30 ET,At Pittsburgh,-6,Baltimore,43,-$260 +$220,14,2017
12/11 8:30 ET,New England,-10.5,At Miami,48,-$600 +$425,14,2017
12/13 8:20 ET,At Kansas City,-3.5,LA Chargers,54.5,-$185 +$165,15,2018
12/15 4:30 ET,Houston,-7,At NY Jets,44.5,-$340 +$280,15,2018
12/15 8:20 ET,At Denver,-1.5,Cleveland,47,-$125 +$105,15,2018
12/16 1:00 ET,At Minnesota,-7.5,Miami,45,-$370 +$300,15,2018
12/16 1:00 ET,At Cincinnati,-3,Oakland,45.5,-$165 +$145,15,2018
12/16 1:00 ET,At Baltimore,-8.5,Tampa Bay,44.5,-$410 +$330,15,2018
12/16 1:00 ET,At Indianapolis,-3,Dallas,46.5,-$160 +$140,15,2018
12/16 1:00 ET,At Buffalo,-2.5,Detroit,39.5,-$145 +$125,15,2018
12/16 1:00 ET,At Chicago,-5.5,Green Bay,46.5,-$240 +$200,15,2018
12/16 1:00 ET,Tennessee,-2,At NY Giants,42.5,-$130 +$110,15,2018
12/16 1:00 ET,At Jacksonville,-7.5,Washington,36.5,-$360 +$280,15,2018
12/16 1:00 ET,At Atlanta,-9,Arizona,43.5,-$450 +$350,15,2018
12/16 4:05 ET,Seattle,-4,At San Francisco,44.5,-$200 +$170,15,2018
12/16 4:25 ET,New England,-2.5,At Pittsburgh,54.5,-$150 +$130,15,2018
12/16 8:20 ET,At LA Rams,-13,Philadelphia,53,-$900 +$600,15,2018
12/17 8:15 ET,New Orleans,-6,At Carolina,50.5,-$270 +$220,15,2018
12/14 8:25 ET,Denver,-3,At Indianapolis,40.5,-$145 +$125,15,2017
12/16 4:30 ET,At Detroit,-5,Chicago,44,-$245 +$205,15,2017
12/16 8:25 ET,At Kansas City,0,LA Chargers,47,-$110  -$110,15,2017
12/17 1:00 ET,Philadelphia,-7.5,At NY Giants,41,-$350 +$290,15,2017
12/17 1:00 ET,At Carolina,-3,Green Bay,47,-$150 +$130,15,2017
12/17 1:00 ET,At Minnesota,-13,Cincinnati,42.5,-$875 +$600,15,2017
12/17 1:00 ET,At Buffalo,-3.5,Miami,40,-$185 +$165,15,2017
12/17 1:00 ET,At Jacksonville,-10.5,Houston,39,-$575 +$425,15,2017
12/17 1:00 ET,At New Orleans,-16,NY Jets,47,-$1700 +$950,15,2017
12/17 1:00 ET,At Washington,-4.5,Arizona,40,-$215 +$180,15,2017
12/17 1:00 ET,Baltimore,-7,At Cleveland,42.5,-$300 +$250,15,2017
12/17 4:05 ET,At Seattle,0,LA Rams,47.5,-$110  -$110,15,2017
12/17 4:25 ET,New England,-2.5,At Pittsburgh,53,-$135 +$115,15,2017
12/17 4:25 ET,At San Francisco,-2.5,Tennessee,44.5,-$135 +$115,15,2017
12/17 8:30 ET,Dallas,-3,At Oakland,46.5,-$155 +$135,15,2017
12/18 8:30 ET,Atlanta,-6.5,At Tampa Bay,48.5,-$300 +$250,15,2017
12/22 4:30 ET,At Tennessee,-11,Washington,38,-$625 +$450,16,2018
12/22 8:20 ET,At LA Chargers,-4,Baltimore,42.5,-$215 +$180,16,2018
12/23 1:00 ET,At Dallas,-7,Tampa Bay,48,-$345 +$280,16,2018
12/23 1:00 ET,At New England,-13.5,Buffalo,45,-$1000 +$650,16,2018
12/23 1:00 ET,Atlanta,-3,At Carolina,46,-$145 +$125,16,2018
12/23 1:00 ET,At Miami,-3,Jacksonville,39,-$170 +$150,16,2018
12/23 1:00 ET,At Indianapolis,-9.5,NY Giants,48,-$500 +$400,16,2018
12/23 1:00 ET,At Philadelphia,-2,Houston,47,-$135 +$115,16,2018
12/23 1:00 ET,Minnesota,-6.5,At Detroit,42,-$300 +$250,16,2018
12/23 1:00 ET,Green Bay,-3,At NY Jets,47,-$160 +$140,16,2018
12/23 1:00 ET,At Cleveland,-9.5,Cincinnati,44,-$460 +$360,16,2018
12/23 4:05 ET,LA Rams,-14,At Arizona,43.5,-$900 +$600,16,2018
12/23 4:05 ET,Chicago,-3.5,At San Francisco,43.5,-$200 +$175,16,2018
12/23 4:25 ET,At New Orleans,-6.5,Pittsburgh,53.5,-$275 +$235,16,2018
12/23 8:20 ET,Kansas City,-1,At Seattle,54.5,-$120 +$100,16,2018
12/24 8:15 ET,Denver,-2.5,At Oakland,42.5,-$140 +$120,16,2018
12/23 4:30 ET,At Baltimore,-13.5,Indianapolis,41,-$1000 +$700,16,2017
12/23 8:30 ET,Minnesota,-9,At Green Bay,41,-$450 +$350,16,2017
12/24 1:00 ET,Detroit,-3,At Cincinnati,43.5,-$175 +$155,16,2017
12/24 1:00 ET,LA Chargers,-7,At NY Jets,42.5,-$330 +$270,16,2017
12/24 1:00 ET,LA Rams,-6,At Tennessee,46,-$250 +$210,16,2017
12/24 1:00 ET,At Chicago,-5.5,Cleveland,36.5,-$240 +$200,16,2017
12/24 1:00 ET,At Carolina,-10,Tampa Bay,47,-$500 +$400,16,2017
12/24 1:00 ET,At New Orleans,-5.5,Atlanta,52,-$250 +$210,16,2017
12/24 1:00 ET,At Washington,-3,Denver,39,-$165 +$145,16,2017
12/24 1:00 ET,At Kansas City,-11,Miami,43.5,-$625 +$450,16,2017
12/24 1:00 ET,At New England,-11,Buffalo,47.5,-$650 +$475,16,2017
12/24 4:05 ET,Jacksonville,-4,At San Francisco,43,-$210 +$175,16,2017
12/24 4:25 ET,At Arizona,-3,NY Giants,39.5,-$175 +$155,16,2017
12/24 4:25 ET,At Dallas,-4.5,Seattle,47.5,-$225 +$185,16,2017
12/25 4:30 ET,Pittsburgh,-9.5,At Houston,45.5,-$440 +$340,16,2017
12/25 8:30 ET,At Philadelphia,-10,Oakland,46.5,-$475 +$375,16,2017
12/30 1:00 ET,At NY Giants,-7,Dallas,38.5,-$320 +$270,17,2018
12/30 4:25 ET,At Kansas City,-14,Oakland,53.5,-$1000 +$675,17,2018
12/30 1:00 ET,At New Orleans,-8,Carolina,41.5,-$370 +$300,17,2018
12/30 1:00 ET,At New England,-14,NY Jets,47,-$1000 +$650,17,2018
12/30 4:25 ET,Philadelphia,-6,At Washington,42.5,-$270 +$220,17,2018
12/30 1:00 ET,At Green Bay,-7.5,Detroit,44.5,-$370 +$310,17,2018
12/30 1:00 ET,At Houston,-7,Jacksonville,39.5,-$360 +$300,17,2018
12/30 4:25 ET,At Baltimore,-7,Cleveland,40.5,-$320 +$260,17,2018
12/30 1:00 ET,Atlanta,-2.5,At Tampa Bay,52,-$145 +$125,17,2018
12/30 1:00 ET,At Buffalo,-5.5,Miami,39.5,-$265 +$220,17,2018
12/30 8:25 ET,Indianapolis,-5,At Tennessee,42.5,-$245 +$205,17,2018
12/30 4:25 ET,At Pittsburgh,-13.5,Cincinnati,45.5,-$875 +$575,17,2018
12/30 4:25 ET,At Minnesota,-6,Chicago,40,-$255 +$215,17,2018
12/30 4:25 ET,LA Chargers,-7,At Denver,43.5,-$310 +$250,17,2018
12/30 4:25 ET,At Seattle,-15,Arizona,40,-$1100 +$700,17,2018
12/30 4:25 ET,At LA Rams,-11,San Francisco,50,-$500 +$400,17,2018
12/31 4:25 ET,At Baltimore,-8,Cincinnati,39.5,-$430 +$340,17,2017
12/31 1:00 ET,At Detroit,-7,Green Bay,45,-$350 +$290,17,2017
12/31 4:25 ET,Buffalo,-2.5,At Miami,41.5,-$140 +$120,17,2017
12/31 4:25 ET,At Atlanta,-5,Carolina,44.5,-$240 +$200,17,2017
12/31 4:25 ET,New Orleans,-6,At Tampa Bay,49,-$295 +$245,17,2017
12/31 4:25 ET,At Tennessee,-2.5,Jacksonville,40.5,-$140 +$120,17,2017
12/31 1:00 ET,At New England,-16,NY Jets,43,-$2300 +$1100,17,2017
12/31 1:00 ET,At Indianapolis,-5.5,Houston,42,-$240 +$200,17,2017
12/31 1:00 ET,At Pittsburgh,-5.5,Cleveland,38,-230 +$190,17,2017
12/31 1:00 ET,Washington,-5,At NY Giants,41,-$225 +$185,17,2017
12/31 1:00 ET,At Minnesota,-13,Chicago,38.5,-$900 +$600,17,2017
12/31 1:00 ET,Dallas,-4,At Philadelphia,41,-$205 +$175,17,2017
12/31 4:25 ET,At LA Chargers,-7,Oakland,43,-$320 +$260,17,2017
12/31 4:25 ET,At Seattle,-8,Arizona,38,-$420 +$330,17,2017
12/31 4:25 ET,At Denver,-3,Kansas City,37.5,-$165 +$145,17,2017
12/31 4:25 ET,San Francisco,-6.5,At LA Rams,44,-$280 +$240,17,2017
